Model Number
2
6
6
10
6
0
6
6
6
11
6
6
6
16
5
16
16
6
16
16
6
0
12
6
6
13
18
17
6
6
3
14
0
6
0
6
6
16
11
5
5
6
6
6
18
6
6
6
6
6
6
10
13
16
6
6
16
16
6
4
16
1
12
6
0
6
6
6
7
17
6
6
0
6
16
6
6
5
6
6
6
5
6
6
6
6
6
6
6
4
1
6
6
6
15
6
6
8
6
6
6
6
5
6
6
8
0
16
6
6
6
1
6
12
6
6
16
6
6
6
15
0
6
6
0
6
6
6
6
12
16
6
12
0
6
16
6
6
6
5
1
16
6
5
6
6
6
6
13
5
15
6
5
13
6
0
15
6
6
1
6
10
0
6
5
1
6
16
6
5
16
0
6
0
6
6
12
6
6
6
6
6
6
11
6
16
16
6
0
6
6
6
6
16
6
6
6
4
6
8
13
6
16
6
6
6
5
6
6
16
6
16
6
0
8
5
16
0
0
6
6
10
6
6
6
16
6
6
6
16
16
5
6
6
2
4
6
6
0
16
6
6
6
17
9
6
6
6
6
4
5
16
8
16
6
6
2
6
10
6
6
16
6
6
16
6
4
10
16
6
6
16
6
5
6
12
6
0
6
6
6
0
6
4
6
0
6
6
16
6
6
6
10
4
6
6
16
6
14
6
5
6
6
6
6
6
0
6
6
6
16
6
6
6
6
12
6
6
16
6
6
12
12
14
6
0
0
6
6
6
6
0
10
6
6
6
6
5
6
0
6
2
6
0
6
6
6
4
4
6
6
16
1
6
6
6
6
5
0
6
6
6
11
16
3
6
6
6
6
6
6
16
6
7
6
13
6
6
6
6
8
16
6
6
16
10
6
6
6
8
6
15
5
6
6
6
6
0
6
6
2
6
12
2
6
6
6
6
6
7
16
8
4
16
6
6
0
10
3
6
0
4
6
6
10
6
10
16
5
8
10
16
16
6
6
6
6
3
6
6
11
5
6
6
6
7
6
16
16
6
0
6
6
6
0
16
0
6
16
6
0
10
6
6
0
16
16
10
6
6
6
5
6
6
15
5
16
0
0
6
0
5
6
6
6
6
0
6
6
6
6
4
6
6
6
11
5
6
6
6
6
6
6
0
10
0
0
6
6
6
6
6
16
6
6
16
0
6
6
6
6
16
8
6
16
18
6
14
17
6
6
6
16
12
6
14
2
6
0
17
6
6
0
13
6
6
16
6
6
6
6
0
5
6
6
6
6
6
8
6
6
6
4
6
6
6
5
6
12
6
18
6
6
6
13
7
0
4
6
19
5
12
0
6
6
8
6
6
6
6
6
6
6
16
6
6
16
6
12
6
16
6
6
6
6
6
0
6
6
6
6
6
6
6
6
6
6
0
6
19
6
15
4
6
16
6
6
6
10
6
6
6
6
6
6
6
6
12
6
6
6
18
6
16
6
6
18
0
0
6
6
14
6
6
6
6
6
6
6
6
6
11
6
5
16
6
6
6
6
6
16
6
6
0
6
6
6
12
14
6
6
6
6
5
8
12
6
6
16
16
14
6
7
6
6
6
6
6
6
6
6
5
6
6
6
5
6
12
6
14
16
0
2
6
6
6
6
0
6
8
6
12
6
6
6
4
6
6
6
16
5
6
6
6
6
6
0
0
6
6
6
4
6
4
16
16
17
6
0
16
0
2
6
6
6
6
1
16
5
6
12
6
4
6
16
6
0
6
6
6
0
6
5
6
6
5
16
6
10
0
16
6
16
8
0
12
12
6
0
6
6
6
6
16
6
6
6
6
6
16
6
6
6
16
0
6
6
6
6
16
0
6
6
6
16
6
6
8
6
6
6
6
11
6
6
6
6
0
6
0
0
6
6
8
16
12
6
8
16
4
6
5
4
7
2
0
6
16
6
8
6
6
4
0
6
16
6
13
6
6
6
0
6
4
6
6
6
8
8
6
6
5
6
6
6
12
6
6
4
6
16
6
16
6
6
6
6
6
6
4
16
6
6
1
6
6
6
6
12
16
6
2
16
6
6
6
6
10
16
18
0
6
6
2
6
0
6
6
6
0
18
16
6
6
16
0
6
16
16
6
6
6
4
6
6
6
6
6
6
6
6
16
1
8
6
6
12
0
16
6
15
6
12
16
6
13
6
6
6
16
6
6
6
0
6
12
0
5
5
13
6
16
6
0
6
16
16
5
9
6
6
6
16
6
0
6
16
6
6
6
12
6
16
6
6
16
6
6
6
6
6
6
16
16
6
6
0
6
11
6
6
6
8
0
6
0
6
6
13
6
6
6
6
7
6
0
18
15
19
16
6
6
6
16
6
6
4
16
6
6
6
16
16
16
14
6
10
6
18
6
6
6
6
6
5
6
6
6
6
6
6
16
8
6
16
0
6
8
4
5
6
16
6
6
2
16
6
6
6
6
6
6
16
4
16
6
16
0
6
6
6
6
6
0
6
6
1
7
6
0
5
2
6
6
6
4
6
6
6
6
0
6
6
6
6
6
6
8
14
4
16
6
6
16
8
16
6
6
16
6
13
6
6
16
5
14
5
6
16
16
6
6
0
6
16
8
16
6
6
6
6
0
6
16
16
6
16
6
5
17
16
6
6
6
16
6
10
6
6
6
6
6
6
6
16
16
6
6
4
8
18
6
6
6
6
6
5
6
16
6
6
19
5
6
6
6
6
6
6
6
1
5
6
8
16
6
6
6
6
16
6
6
6
0
10
16
5
6
0
6
6
6
0
6
6
6
6
6
6
6
6
9
16
0
6
6
6
5
16
6
0
6
6
13
16
6
6
18
5
6
5
6
16
6
6
6
16
6
6
6
6
6
6
0
0
6
6
6
6
16
6
6
0
6
19
6
5
16
5
6
16
6
6
2
5
5
16
6
6
16
6
6
0
6
6
6
6
6
0
6
0
6
6
10
6
6
6
0
6
6
15
12
0
6
6
5
6
6
6
16
16
5
6
16
6
10
16
6
4
0
6
12
16
6
5
6
6
7
5
0
4
16
6
18
6
16
6
5
12
6
6
6
16
10
6
6
6
6
6
6
7
0
6
12
0
6
6
6
6
0
16
6
6
16
18
6
0
16
16
6
4
0
5
16
8
15
16
0
16
6
6
16
8
1
6
5
0
16
6
2
5
5
6
6
6
6
6
0
6
6
6
6
12
6
16
16
6
6
6
6
16
0
6
5
5
6
0
5
2
16
6
5
16
6
6
6
6
0
6
6
6
6
16
0
5
6
6
6
6
6
6
6
6
4
16
0
17
6
6
12
12
6
12
12
6
0
0
6
6
6
0
6
1
6
0
16
6
6
6
6
6
6
0
6
6
10
4
0
0
6
1
6
6
10
11
6
14
6
1
6
16
7
6
6
6
6
6
16
8
6
16
6
16
0
6
6
6
6
1
6
6
0
6
6
6
0
6
6
6
18
16
6
6
6
16
15
16
2
5
6
6
16
8
6
7
8
6
5
6
18
16
6
6
6
6
16
16
16
16
6
6
6
6
6
1
6
6
16
5
6
6
6
6
6
6
6
16
16
14
6
6
7
6
16
0
6
16
16
16
6
6
2
16
6
6
7
16
6
6
6
16
6
6
16
6
6
12
5
6
6
6
6
6
6
6
14
6
6
6
6
16
19
6
0
6
14
6
16
5
16
6
6
4
6
6
6
6
6
5
0
15
0
16
5
6
0
6
6
8
16
6
0
4
6
5
6
6
10
6
6
0
16
6
0
5
6
6
12
0
6
6
6
6
6
6
7
18
6
18
6
5
6
6
6
16
6
10
0
0
5
0
6
6
6
16
6
12
6
6
16
5
6
11
6
6
6
6
6
16
4
6
5
16
6
6
6
12
6
14
6
1
6
18
16
0
6
6
6
6
16
12
14
6
6
6
8
6
6
16
6
6
0
6
4
11
6
0
16
18
13
6
6
6
6
6
8
8
6
5
0
6
6
17
17
6
6
6
6
6
6
6
6
6
0
6
16
6
0
0
12
6
16
11
16
6
6
6
6
6
6
6
5
14
6
0
6
6
6
6
6
6
6
6
11
14
9
6
6
6
10
16
6
16
6
6
6
6
6
2
6
18
16
6
6
4
6
6
11
2
6
5
6
6
6
6
6
6
6
6
6
6
7
6
6
8
9
6
6
6
16
6
16
8
6
6
1
6
6
6
16
6
6
6
6
6
6
13
6
6
5
6
16
10
6
6
6
6
6
6
6
6
6
0
6
6
5
16
6
6
0
6
16
6
6
6
16
6
16
6
6
6
1
1
15
16
0
6
5
4
6
6
6
16
6
16
6
5
6
6
8
6
6
6
0
6
2
6
16
0
6
0
6
0
13
6
6
9
6
16
